city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Mucurapo,20,TT,1536872400,59,10.67,-61.53,89.6,5.82
Melo,80,UY,1536875887,81,-32.37,-54.17,67.37,6.73
Margate,75,AU,1536874200,58,-43.03,147.26,59.0,14.99
Mocuba,0,MZ,1536875888,76,-16.84,36.99,71.87,5.84
Trat,92,TH,1536875888,100,12.25,102.51,73.22,4.83
Inhambane,0,MZ,1536875888,96,-23.87,35.38,70.43,13.78
Pisco,0,PE,1536872400,30,-13.71,-76.2,71.6,9.17
Oranjestad,20,AW,1536872400,66,12.52,-70.03,86.0,12.75
San Cristobal,75,EC,1536872400,37,-0.39,-78.55,69.8,17.22
Saint George,20,GR,1536871800,72,39.45,22.34,62.6,5.82
Hasaki,75,JP,1536872400,94,35.73,140.83,69.8,4.7
Port Blair,80,IN,1536875892,100,11.67,92.75,81.5,16.69
Helong,8,CN,1536875892,95,25.94,116.13,69.8,1.92
Auki,48,NG,1536875892,84,12.18,6.51,73.4,6.73
Kjollefjord,90,NO,1536871800,87,70.95,27.35,50.0,11.41
Ilulissat,40,GL,1536871800,64,69.22,-51.1,35.6,3.36
Coari,8,BR,1536875893,80,-4.09,-63.14,83.57,3.38
Severo-Kurilsk,0,RU,1536875893,100,50.68,156.12,46.49,3.27
Praia,0,BR,1536872400,53,-20.25,-43.81,71.6,13.87
Vaitape,0,PF,1536875894,99,-16.52,-151.75,79.79,8.97
Hambantota,56,LK,1536875895,100,6.12,81.12,79.97,8.19
Birao,48,CF,1536875895,95,10.3,22.78,69.98,5.73
Diego de Almagro,0,CL,1536875895,69,-26.39,-70.05,61.88,3.6
Bereda,0,ES,1536874200,88,43.27,-7.54,64.4,5.82
Porto Novo,0,BR,1536876000,77,-23.68,-45.44,66.2,10.29
Skjervoy,92,NO,1536875620,99,70.03,20.97,50.45,6.51
Klaksvik,88,FO,1536873600,87,62.23,-6.59,44.6,1.12
Carmen,88,PH,1536875896,98,7.2,124.8,71.78,2.82
Makakilo City,1,US,1536872220,81,21.35,-158.09,80.96,8.05
Maturin,56,VE,1536875709,57,9.75,-63.18,87.44,6.29
Khatanga,92,RU,1536875897,96,71.98,102.47,37.22,10.2
Grand Gaube,20,MU,1536872400,78,-20.01,57.66,71.6,5.82
Rocha,76,UY,1536875898,80,-34.48,-54.34,61.16,10.87
Nimaparha,40,IN,1536874200,88,20.07,86.02,80.6,9.98
Kahului,90,US,1536874620,74,20.89,-156.47,84.92,13.87
Masunga,0,BW,1536875900,16,-20.62,27.45,63.14,11.21
Thunder Bay,20,CA,1536872400,50,48.41,-89.26,78.8,16.11
Kruisfontein,0,ZA,1536875901,89,-34.0,24.73,60.44,17.58
Moyamba,92,SL,1536875901,100,8.16,-12.43,71.69,2.71
Pevek,56,RU,1536875901,93,69.7,170.27,46.22,5.17
Sibolga,68,ID,1536875901,100,1.74,98.78,68.09,0.92
Nueva Florida,0,PE,1536875902,45,-6.95,-76.61,91.22,2.15
Sovetskiy,0,RU,1536875902,65,56.76,48.47,54.41,15.12
Coolum Beach,0,AU,1536875902,100,-26.53,153.09,60.8,1.48
Sikonge,0,TZ,1536872400,49,-5.63,32.75,69.8,10.87
Springfield,40,US,1536871920,56,37.22,-93.29,84.02,4.7
Abasolo,75,MX,1536871200,57,20.45,-101.53,75.2,3.38
Albesti,0,RO,1536874200,77,47.7,27.07,62.6,3.36
Oppdal,0,NO,1536875904,64,62.6,9.69,37.85,6.73
Colares,0,PT,1536874200,64,38.8,-9.45,71.6,6.93
Pangai,75,TO,1536872400,94,-19.8,-174.35,75.2,18.34
Bani Walid,0,LY,1536875905,52,31.76,14.0,75.47,10.76
Beloha,0,MG,1536875906,70,-25.17,45.06,65.03,9.75
Hailar,0,CN,1536875751,79,49.2,119.7,40.73,4.72
Severodvinsk,90,RU,1536872400,100,64.56,39.82,51.8,8.95
